Transcript,sequence.length,best.hit.to.nr,hit.length,E.value,Bit.score,GO.Biological.Process,GO.Cellular.Component,GO.Molecular.Function,Enzyme,Domain,annotation.type,pval,adj.r.squared,padj,Apicea.type,Acarolinensis.type
13299|*|comp165275_c0_seq1,1031,gi|322792608|gb|EFZ16508.1| hypothetical protein SINV_11514 ,282,1.40E-169,586.505922,GO:0006364 rRNA processing | GO:0016998 cell wall macromolecule catabolic process,GO:0005737 cytoplasm | GO:0005730 nucleolus | GO:0000178 exosome (RNase complex),GO:0004527 exonuclease activity | GO:0003723 RNA binding,-,pfam01138 RNase_PH,GO & Domain,7.59E-06,0.78862263,0.000326899,Low,Low
13304|*|comp141302_c0_seq1,1031,-,-,-,-,-,-,-,-,-,,1.63E-06,0.826582118,9.38844E-05,High,Low
13305|*|comp148928_c0_seq4,1031,gi|307192726|gb|EFN75834.1| hypothetical protein EAI_17017 ,106,2.28E-15,91.613914,-,-,-,-,pfam10545 MADF_DNA_bdg,Domain only,5.89E-07,0.847735316,4.20872E-05,Bimodal,NotResp
13312|*|comp149541_c0_seq5,1030,-,-,-,-,-,-,-,-,-,,3.35E-15,0.986072867,7.30E-12,Low,Low
13320|*|comp124285_c0_seq1,1029,gi|190702583|gb|ACE75466.1| hypothetical protein GIP_L7_0050 ,252,2.63E-78,285.891557,-,-,-,-,-,,5.69E-06,0.796343402,0.000260033,Low,Intermediate
13324|*|Contig1900,1029,-,-,-,-,-,-,-,-,-,,1.70E-10,0.945752426,5.82E-08,Bimodal,Intermediate
13338|*|comp145522_c0_seq2,1028,-,-,-,-,-,-,-,-,-,,2.19E-11,0.95809586,1.03E-08,Low,High
133|*|Contig5860,6663,gi|350401734|ref|XP_003486244.1| PREDICTED: fasciclin-1-like ,626,0,1128.060459,GO:0007155 cell adhesion,GO:0031225 anchored to membrane | GO:0005886 plasma membrane,-,-,pfam02469 Fasciclin,GO & Domain,1.89E-07,0.86827773,1.73032E-05,Low,Low
13412|*|comp145927_c0_seq1,1023,-,-,-,-,-,-,-,-,-,,1.33E-06,0.831047882,7.94398E-05,Low,NotResp
13417|*|comp145770_c2_seq2,1023,-,-,-,-,-,-,-,-,-,,1.52E-07,0.871913135,1.45109E-05,Low,Low
13435|*|comp145395_c0_seq1,1021,gi|322790200|gb|EFZ15199.1| hypothetical protein SINV_03225 ,55,2.25E-15,91.613914,GO:0006508 proteolysis,-,GO:0004222 metalloendopeptidase activity,-,-,GO only,1.79E-06,0.824491582,0.00010112,Low,High
13450|*|comp139537_c0_seq1,1020,-,-,-,-,-,-,-,-,-,,2.94E-07,0.860639515,2.42814E-05,High,Intermediate
13458|*|comp140759_c0_seq1,1019,gi|307177513|gb|EFN66624.1| Blastoderm-specific protein 25D ,181,6.95E-81,293.519085,-,-,GO:0005509 calcium ion binding,-,pfam03592 Terminase_2,GO & Domain,8.79E-06,0.784570848,0.000368662,Low,Low
13463|*|comp150863_c1_seq31,1019,-,-,-,-,-,-,-,-,-,,4.60E-07,0.852484027,3.43927E-05,Low,Low
13470|*|comp136625_c0_seq2,1018,gi|322778708|gb|EFZ09124.1| hypothetical protein SINV_00066 ,218,4.92E-144,501.705751,GO:0042779 tRNA 3'-trailer cleavage | GO:0006446 regulation of translational initiation,GO:0005840 ribosome,"GO:0003743 translation initiation factor activity | GO:0016891 endoribonuclease activity, producing 5'-phosphomonoesters",-,pfam01652 IF4E,GO & Domain,6.31E-07,0.846393676,4.45425E-05,Low,Low
1348|*|comp147915_c1_seq9,3847,gi|307213531|gb|EFN88940.1| Homeobox protein abdominal-B ,580,0,1278.81632,"GO:0006355 regulation of transcription, DNA-dependent",GO:0005634 nucleus | GO:0005667 transcription factor complex,GO:0003700 sequence-specific DNA binding transcription factor activity | GO:0000976 transcription regulatory region sequence-specific DNA binding,-,pfam00046 Homeobox,GO & Domain,3.17E-07,0.8593227,2.57717E-05,High,Intermediate
13498|*|comp138092_c0_seq1,1017,-,-,-,-,-,-,-,-,-,,1.37E-08,0.905614872,2.11E-06,Bimodal,Intermediate
13509|*|comp144952_c0_seq2,1016,gi|328708925|ref|XP_003243828.1| PREDICTED: THAP domain-containing protein 9-like ,186,2.41E-16,94.754661,-,-,-,-,-,,2.46E-07,0.863784961,2.12467E-05,Intermediate,Intermediate
13510|*|comp148860_c1_seq4,1016,-,-,-,-,-,-,-,-,-,,2.64E-12,0.967861852,1.76E-09,Bimodal,Bimodal
1352|*|comp146527_c0_seq1,3839,gi|332019279|gb|EGI59788.1| Acetyl-coenzyme A transporter 1 ,514,0,1180.107125,GO:0021955 central nervous system neuron axonogenesis | GO:0015876 acetyl-CoA transport,GO:0016021 integral to membrane,GO:0008521 acetyl-CoA transporter activity,-,pfam13000 Acatn | pfam07690 MFS_1,GO & Domain,1.18E-07,0.875918968,1.18953E-05,Low,Intermediate
13535|*|comp145328_c0_seq2,1015,-,-,-,-,-,-,-,-,-,,4.75E-06,0.80101661,0.000223828,NotResp,Low
13542|*|comp149059_c2_seq11,1014,-,-,-,-,-,-,-,-,-,,1.07E-10,0.948860897,4.02E-08,Low,Low
13544|*|comp150446_c1_seq1,1014,-,-,-,-,-,-,-,-,-,,1.36E-06,0.830596692,8.09136E-05,Low,Low
13574|*|Contig2063,1013,-,-,-,-,-,-,-,-,pfam05485 THAP,Domain only,5.48E-08,0.887471005,6.57E-06,High,Intermediate
13580|*|comp140704_c0_seq1,1012,gi|322791529|gb|EFZ15920.1| hypothetical protein SINV_09953 ,319,2.44E-196,675.344198,-,GO:0005634 nucleus,GO:0003676 nucleic acid binding | GO:0008270 zinc ion binding,-,pfam07776 zf-AD | pfam13465 zf-H2C2_2,GO & Domain,4.69E-07,0.852120082,3.49564E-05,Intermediate,Intermediate
13587|*|comp150286_c0_seq4,1011,-,-,-,-,-,-,-,-,-,,6.27E-06,0.793759623,0.000280816,Low,Low
13617|*|comp146715_c1_seq1,1010,gi|332017130|gb|EGI57929.1| Putative dynactin subunit 2 ,289,4.30E-173,598.171554,GO:0007067 mitosis | GO:0007017 microtubule-based process,GO:0005869 dynactin complex,-,-,pfam04912 Dynamitin | pfam07926 TPR_MLP1_2 | pfam13949 ALIX_LYPXL_bnd,GO & Domain,8.00E-07,0.841659025,5.36818E-05,Low,Intermediate
13636|*|comp274512_c0_seq1,1009,gi|307168400|gb|EFN61566.1| hypothetical protein EAG_00468 ,88,1.80E-29,136.930408,-,-,GO:0008270 zinc ion binding | GO:0003676 nucleic acid binding,-,-,GO only,1.47E-09,0.928800702,3.54E-07,NotResp,Intermediate
13674|*|comp148601_c0_seq1,1006,gi|322794462|gb|EFZ17534.1| hypothetical protein SINV_80398 ,256,1.73E-98,350.501211,-,-,-,-,-,,1.09817E-05,0.778294819,0.000437594,Low,Low
13678|*|Contig1024,1006,gi|307185521|gb|EFN71499.1| hypothetical protein EAG_05899 ,61,7.41E-24,118.983282,GO:0015074 DNA integration,-,GO:0003676 nucleic acid binding,-,-,GO only,1.16807E-05,0.776518761,0.000458005,Low,Bimodal
13689|*|comp150188_c0_seq3,1005,gi|322788065|gb|EFZ13890.1| hypothetical protein SINV_05497 ,116,1.38E-72,268.841787,GO:0035335 peptidyl-tyrosine dephosphorylation | GO:0006570 tyrosine metabolic process,-,GO:0004725 protein tyrosine phosphatase activity | GO:0003779 actin binding | GO:0030246 carbohydrate binding,-,pfam00307 CH,GO & Domain,1.16E-06,0.833957901,7.15882E-05,Low,Low
13716|*|comp147804_c0_seq2,1003,-,-,-,-,-,-,-,-,-,,6.19E-10,0.936172244,1.76E-07,Low,Low
13729|*|comp148488_c0_seq11,1002,-,-,-,-,-,-,-,-,-,,3.23E-06,0.810661393,0.000164022,Low,Low
13753|*|comp111672_c0_seq2,1001,gi|322781641|gb|EFZ10262.1| hypothetical protein SINV_10793 ,90,4.49E-08,67.833972,-,-,-,-,-,,6.35E-07,0.846278673,4.47244E-05,Low,NotResp
13763|*|comp136107_c1_seq1,999,-,-,-,-,-,-,-,-,-,,9.93E-07,0.837220874,6.32979E-05,Low,Intermediate
13784|*|Contig5862,997,-,-,-,-,-,-,-,-,-,,4.15E-08,0.891383011,5.22E-06,Low,Low
13796|*|comp137671_c1_seq1,996,gi|322780715|gb|EFZ09990.1| hypothetical protein SINV_08352 ,243,7.66E-120,421.39236,-,-,-,-,pfam13359 DDE_4,Domain only,9.53E-07,0.838074057,6.12686E-05,NotResp,Intermediate
13825|*|Contig4202,994,gi|332023573|gb|EGI63809.1| Serine protease easter ,211,3.42E-53,210.513626,GO:0006508 proteolysis,-,GO:0004252 serine-type endopeptidase activity,-,pfam00089 Trypsin,GO & Domain,8.68E-09,0.910905495,1.49E-06,Low,Low
13840|*|comp148463_c1_seq2,993,gi|332030653|gb|EGI70341.1| T-complex protein 11-like protein 1 ,41,7.77E-15,89.819202,-,-,-,-,-,,1.14E-09,0.93105265,2.91E-07,High,High
13841|*|comp138619_c0_seq1,993,gi|332019716|gb|EGI60186.1| hypothetical protein G5I_11629 ,105,1.59E-26,127.508167,-,-,-,-,-,,7.32E-06,0.789624714,0.000317168,Bimodal,Intermediate
13847|*|comp148340_c0_seq1,992,gi|332026301|gb|EGI66435.1| hypothetical protein G5I_05026 ,90,2.05E-45,186.733684,-,-,-,-,-,,7.17E-06,0.790155049,0.000312265,Low,Intermediate
13861|*|comp141959_c0_seq1,991,gi|307168342|gb|EFN61542.1| UPF0630 protein KIAA0652-like protein ,70,3.57E-38,164.299776,-,-,-,-,-,,3.63E-12,0.966560896,2.29E-09,Low,Low
1393|*|Contig3694,3793,gi|322790860|gb|EFZ15545.1| hypothetical protein SINV_12422 ,179,1.84E-111,393.574315,-,GO:0016021 integral to membrane,-,-,-,GO only,4.40E-06,0.802969906,0.00020994,Low,Low
13974|*|comp150175_c0_seq6,983,gi|307188927|gb|EFN73458.1| Transposable element Tc3 transposase ,20,0.00111,53.476271,-,-,-,-,-,,1.76E-11,0.959232135,8.61E-09,Low,Low
13981|*|comp92209_c0_seq1,983,-,-,-,-,-,-,-,-,-,,8.29E-09,0.91142135,1.44E-06,Low,Low
14027|*|Contig111,980,-,-,-,-,-,-,-,-,-,,3.52E-10,0.940561999,1.08E-07,Low,Low
14032|*|comp138335_c2_seq1,980,-,-,-,-,-,-,-,-,-,,1.66E-09,0.927692305,3.88E-07,Low,Low
1403|*|comp150168_c1_seq2,3784,gi|332022986|gb|EGI63251.1| Glutamate receptor-interacting protein 2 ,182,6.38E-111,391.779602,-,-,GO:0016853 isomerase activity | GO:0016787 hydrolase activity,-,pfam00533 BRCT | pfam00595 PDZ,GO & Domain,3.20E-06,0.810900687,0.000162585,Low,Low
14040|*|Contig3925,979,-,-,-,-,-,-,-,-,-,,2.08E-09,0.925619081,4.61E-07,Low,Low
14041|*|comp147073_c0_seq1,979,gi|332028024|gb|EGI68075.1| DNA/RNA-binding protein KIN17 ,175,8.22E-98,348.257821,-,-,-,-,-,,9.88E-06,0.781312564,0.000404201,Low,Intermediate
14047|*|Contig544,979,gi|322785543|gb|EFZ12205.1| hypothetical protein SINV_09165 ,220,1.27E-98,350.94989,-,-,-,-,pfam11566 PI31_Prot_N | pfam00646 F-box,Domain only,9.16E-08,0.879885993,9.74E-06,Bimodal,Intermediate
14092|*|comp138736_c0_seq1,976,gi|332024000|gb|EGI64218.1| Outer dense fiber protein 3 ,169,2.83E-82,297.557189,-,-,-,-,pfam07004 SHIPPO-rpt,Domain only,8.19E-06,0.786534443,0.000347159,Low,Intermediate
14152|*|comp146879_c1_seq1,973,"gi|383849944|ref|XP_003700593.1| PREDICTED: fringe glycosyltransferase-like, partial ",102,1.04E-62,239.229028,GO:0007389 pattern specification process,GO:0030173 integral to Golgi membrane,GO:0033829 O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity,-,-,GO only,1.99E-06,0.822072367,0.000110159,High,Low
14165|*|Contig1712,972,-,-,-,-,-,-,-,-,-,,5.34E-10,0.937354784,1.55E-07,Bimodal,Low
14166|*|comp149995_c2_seq4,972,gi|307181524|gb|EFN69099.1| hypothetical protein EAG_05682 ,58,0.00999,50.335524,-,-,-,-,-,,9.69E-11,0.949468585,3.73E-08,Low,Intermediate
14199|*|comp138253_c0_seq1,970,gi|328722219|ref|XP_003247512.1| PREDICTED: hypothetical protein LOC100570165 ,279,1.06E-84,304.736039,-,-,-,-,-,,3.91E-07,0.855506405,3.05289E-05,High,Low
14213|*|comp148938_c7_seq6,968,gi|443692942|gb|ELT94426.1| hypothetical protein CAPTEDRAFT_218190 ,73,3.34E-05,58.411731,-,-,-,-,pfam05485 THAP,Domain only,7.37E-09,0.912737307,1.31E-06,Low,Low
14246|*|comp147320_c1_seq1,966,gi|307202815|gb|EFN82088.1| hypothetical protein EAI_00987 ,189,2.37E-67,253.138051,-,-,-,-,-,,3.00E-08,0.89576145,4.00E-06,Bimodal,Low
14247|*|comp88674_c0_seq1,966,gi|332025749|gb|EGI65907.1| Receptor-type tyrosine-protein phosphatase mu ,280,3.40E-131,459.081326,GO:0035335 peptidyl-tyrosine dephosphorylation | GO:0006570 tyrosine metabolic process,-,GO:0004725 protein tyrosine phosphatase activity,-,-,GO only,2.07E-07,0.866752283,1.85258E-05,NotResp,Intermediate
14248|*|comp145738_c1_seq1,966,gi|322792264|gb|EFZ16248.1| hypothetical protein SINV_00600 ,30,9.59E-10,73.21811,-,-,-,-,-,,1.57E-06,0.827427818,9.10204E-05,High,High
14335|*|Contig2849,962,-,-,-,-,-,-,-,-,-,,4.04E-06,0.805091167,0.000196348,NotResp,Intermediate
14359|*|comp160837_c0_seq1,961,-,-,-,-,-,-,-,-,-,,1.14532E-05,0.777086499,0.000450705,Low,Low
1436|*|comp138657_c0_seq1,3751,gi|332026888|gb|EGI66989.1| Tubulin-specific chaperone D ,502,1.60999999998e-313,1064.34816,GO:0006486 protein glycosylation | GO:0009247 glycolipid biosynthetic process,GO:0032580 Golgi cisterna membrane | GO:0016021 integral to membrane,GO:0046920 alpha-(1->3)-fucosyltransferase activity | GO:0017060 3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity,-,pfam12612 TFCD_C,GO & Domain,5.23E-08,0.888147302,6.33E-06,Low,Low
14387|*|comp146541_c2_seq3,959,-,-,-,-,-,-,-,-,-,,3.38E-09,0.920909823,6.86E-07,Bimodal,Intermediate
14436|*|Contig3770,957,-,-,-,-,-,-,-,-,-,,1.16E-08,0.90761178,1.85E-06,Bimodal,Bimodal
14507|*|comp89202_c0_seq1,952,gi|307189016|gb|EFN73533.1| E3 ubiquitin-protein ligase UBR3 ,81,4.78E-47,191.669144,GO:0016567 protein ubiquitination,-,GO:0004842 ubiquitin-protein ligase activity | GO:0008270 zinc ion binding,-,-,GO only,2.42E-07,0.864062622,2.10388E-05,Low,Low
1450|*|comp146872_c0_seq1,3735,gi|332021888|gb|EGI62224.1| Activating signal cointegrator 1 ,401,1.87E-244,835.073622,"GO:0006355 regulation of transcription, DNA-dependent | GO:0007165 signal transduction",GO:0005737 cytoplasm | GO:0005634 nucleus,GO:0016922 ligand-dependent nuclear receptor binding | GO:0008270 zinc ion binding,-,pfam06221 zf-C2HC5 | pfam04266 ASCH,GO & Domain,1.13E-07,0.876691948,1.1418E-05,Low,Low
14514|*|comp151031_c0_seq1,952,gi|332022284|gb|EGI62597.1| Ecdysteroid-regulated 16 kDa protein ,178,6.01E-103,365.307591,-,-,-,-,pfam02221 E1_DerP2_DerF2,Domain only,7.92E-06,0.787453213,0.000338355,High,Intermediate
14523|*|comp148886_c1_seq1,951,gi|322797524|gb|EFZ19568.1| hypothetical protein SINV_01522 ,32,2.60E-06,62.001156,-,-,-,-,-,,3.94E-06,0.805735249,0.000192121,Low,Intermediate
14580|*|comp121364_c0_seq1,948,-,-,-,-,-,-,-,-,-,,3.73E-07,0.85639097,2.9361E-05,Low,Low
14598|*|comp146573_c2_seq1,947,-,-,-,-,-,-,-,-,-,,8.96E-07,0.839355619,5.85772E-05,Bimodal,Bimodal
14614|*|Contig3064,946,gi|332031356|gb|EGI70869.1| Glutaredoxin-C4 ,109,8.20E-58,224.422649,GO:0045454 cell redox homeostasis | GO:0006118 electron transport,-,GO:0009055 electron carrier activity | GO:0015035 protein disulfide oxidoreductase activity | GO:0008270 zinc ion binding,-,pfam00462 Glutaredoxin,GO & Domain,6.62E-07,0.845454958,4.6335E-05,Low,Low
14618|*|comp150435_c0_seq1,945,gi|332026917|gb|EGI67018.1| Bone morphogenetic protein 10 ,308,1.39E-194,669.511382,"GO:0055015 ventricular cardiac muscle cell development | GO:0010613 positive regulation of cardiac muscle hypertrophy | GO:0032924 activin receptor signaling pathway | GO:0060347 heart trabecula formation | GO:0060045 positive regulation of cardiac muscle cell proliferation | GO:0010862 positive regulation of pathway-restricted SMAD protein phosphorylation | GO:0055117 regulation of cardiac muscle contraction | GO:0010596 negative regulation of endothelial cell migration | GO:0010614 negative regulation of cardiac muscle hypertrophy | GO:2000138 positive regulation of cell proliferation involved in heart morphogenesis | GO:0030509 BMP signaling pathway | GO:0060298 positive regulation of sarcomere organization | GO:0055010 ventricular cardiac muscle tissue morphogenesis | GO:0007512 adult heart development | GO:0045893 positive regulation of transcription, DNA-dependent | GO:0055009 atrial cardiac muscle tissue morphogenesis | GO:0030308 negative regulation of cell growth",GO:0009986 cell surface | GO:0005615 extracellular space | GO:0030018 Z disc,GO:0008083 growth factor activity | GO:0033612 receptor serine/threonine kinase binding | GO:0005179 hormone activity,-,pfam00019 TGF_beta,GO & Domain,1.06302E-05,0.779225201,0.000427606,High,Intermediate
14650|*|comp138042_c0_seq1,943,gi|307170044|gb|EFN62497.1| 60S ribosomal protein L13 ,219,2.64E-144,502.603107,GO:0006412 translation | GO:0042254 ribosome biogenesis,GO:0005840 ribosome,GO:0003735 structural constituent of ribosome,-,pfam01294 Ribosomal_L13e,GO & Domain,7.29E-06,0.789714362,0.000316262,Low,Low
14657|*|comp134246_c1_seq1,943,gi|401403689|ref|XP_003881538.1| conserved hypothetical protein ,301,8.76E-31,140.968512,GO:0006468 protein phosphorylation | GO:0016070 RNA metabolic process | GO:0009069 serine family amino acid metabolic process,GO:0045298 tubulin complex,GO:0008017 microtubule binding | GO:0003677 DNA binding | GO:0003723 RNA binding | GO:0005524 ATP binding | GO:0004674 protein serine/threonine kinase activity,-,-,GO only,1.51E-11,0.95998397,7.74E-09,Low,Low
14662|*|comp149872_c0_seq1,942,-,-,-,-,-,-,-,-,-,,1.50E-08,0.904552018,2.23E-06,High,Low
14715|*|comp149462_c1_seq1,940,-,-,-,-,-,-,-,-,-,,9.44E-13,0.971757769,7.65E-10,Intermediate,Low
14731|*|comp150781_c2_seq1,939,-,-,-,-,-,-,-,-,-,,1.19E-06,0.833484479,7.27401E-05,Bimodal,Intermediate
14766|*|comp148980_c0_seq8,937,-,-,-,-,-,-,-,-,-,,1.81E-07,0.86898786,1.67233E-05,Low,Intermediate
14768|*|Contig2792,937,-,-,-,-,-,-,-,-,-,,1.29E-07,0.874583231,1.27439E-05,Low,Low
14773|*|comp139943_c0_seq1,936,-,-,-,-,-,-,-,-,-,,6.85E-06,0.791400116,0.000301532,Low,Low
14805|*|comp90889_c0_seq1,934,gi|322788692|gb|EFZ14285.1| hypothetical protein SINV_03592 ,185,3.41E-121,425.879142,-,-,GO:0003676 nucleic acid binding | GO:0046872 metal ion binding,-,-,GO only,1.04E-08,0.908899553,1.69E-06,Low,Low
1481|*|Contig2486,3709,gi|307176727|gb|EFN66142.1| Fatty acyl-CoA reductase 1 ,519,0,1104.280516,GO:0046474 glycerophospholipid biosynthetic process | GO:0035336 long-chain fatty-acyl-CoA metabolic process | GO:0010025 wax biosynthetic process | GO:0008611 ether lipid biosynthetic process | GO:0055114 oxidation-reduction process,GO:0005778 peroxisomal membrane | GO:0016021 integral to membrane,GO:0080019 fatty-acyl-CoA reductase (alcohol-forming) activity,-,pfam07993 NAD_binding_4 | pfam03015 Sterile | pfam01370 Epimerase,GO & Domain,3.88E-06,0.806113697,0.000189797,Bimodal,Intermediate
14829|*|comp150379_c4_seq1,933,-,-,-,-,-,-,-,-,-,,7.56E-09,0.912453503,1.34E-06,Low,Low
14833|*|comp149500_c0_seq2,933,-,-,-,-,-,-,-,-,-,,1.10E-07,0.877034326,1.12441E-05,High,Low
14846|*|comp142011_c0_seq1,932,gi|340719579|ref|XP_003398227.1| PREDICTED: trafficking protein particle complex subunit 3-like ,178,2.51E-111,393.125636,-,-,-,-,pfam04051 TRAPP,Domain only,7.92E-07,0.841871091,5.33051E-05,Low,Low
14854|*|comp122847_c0_seq1,931,-,-,-,-,-,-,-,-,-,,2.30E-06,0.818718569,0.000123983,Intermediate,Intermediate
14859|*|comp140682_c0_seq2,931,gi|322782200|gb|EFZ10365.1| hypothetical protein SINV_11683 ,151,2.09E-49,198.847994,GO:0015074 DNA integration,-,GO:0003676 nucleic acid binding | GO:0008270 zinc ion binding,-,-,GO only,2.84E-07,0.861249181,2.36796E-05,Bimodal,NotResp
14860|*|comp122649_c0_seq1,931,-,-,-,-,-,-,-,-,-,,3.17E-06,0.811120801,0.000161373,Low,Bimodal
14862|*|comp143253_c0_seq1,931,-,-,-,-,-,-,-,-,-,,1.27E-13,0.978030644,1.64E-10,Low,Low
14873|*|comp149610_c0_seq5,930,-,-,-,-,-,-,-,-,-,,1.04E-06,0.836291617,6.57497E-05,NotResp,High
14886|*|comp141648_c0_seq2,930,gi|328709841|ref|XP_003244084.1| PREDICTED: hypothetical protein LOC100573972 ,120,1.88E-10,75.461501,-,-,-,-,pfam05485 THAP,Domain only,8.24E-08,0.881499224,9.01E-06,Intermediate,Intermediate
148|*|Contig3791,6554,gi|332030499|gb|EGI70187.1| Transcriptional regulatory protein PHO23 ,1741,0,3433.817511,GO:0016055 Wnt receptor signaling pathway | GO:0006464 protein modification process | GO:0007018 microtubule-based movement | GO:0007275 multicellular organismal development | GO:0007186 G-protein coupled receptor signaling pathway,GO:0016021 integral to membrane | GO:0005874 microtubule | GO:0045298 tubulin complex,GO:0003777 microtubule motor activity | GO:0008641 small protein activating enzyme activity | GO:0008017 microtubule binding | GO:0008270 zinc ion binding | GO:0003676 nucleic acid binding | GO:0004930 G-protein coupled receptor activity | GO:0016874 ligase activity | GO:0005524 ATP binding | GO:0042813 Wnt-activated receptor activity,-,-,GO only,9.84E-06,0.781428494,0.000402799,High,High
14996|*|comp147074_c2_seq2,922,-,-,-,-,-,-,-,-,-,,1.84E-07,0.868746487,1.69202E-05,Low,Low
15001|*|comp150512_c0_seq1,922,gi|307187182|gb|EFN72421.1| hypothetical protein EAG_02277 ,49,4.44E-13,83.986386,-,-,-,-,-,,6.40E-09,0.91426943,1.16E-06,Low,Intermediate
15008|*|comp121851_c0_seq1,921,-,-,-,-,-,-,-,-,-,,9.31E-07,0.838575238,6.0276E-05,Low,Low
15023|*|comp147387_c1_seq1,920,gi|322781557|gb|EFZ10235.1| hypothetical protein SINV_06617 ,125,6.85E-72,266.598396,GO:0040010 positive regulation of growth rate | GO:0006915 apoptotic process | GO:0000003 reproduction | GO:0032940 secretion by cell | GO:0002119 nematode larval development | GO:0040011 locomotion | GO:0006898 receptor-mediated endocytosis | GO:0006886 intracellular protein transport,GO:0030126 COPI vesicle coat,GO:0005198 structural molecule activity,-,-,GO only,4.47E-07,0.852994087,3.37813E-05,Intermediate,Intermediate
15095|*|comp137772_c0_seq2,916,gi|332024273|gb|EGI64475.1| Aminopeptidase N ,108,4.75E-14,87.127133,GO:0006508 proteolysis,-,GO:0008237 metallopeptidase activity | GO:0008270 zinc ion binding | GO:0004177 aminopeptidase activity,-,-,GO only,1.67E-09,0.927642606,3.89E-07,Intermediate,NotResp
150|*|comp150409_c8_seq1,6524,gi|350419066|ref|XP_003492059.1| PREDICTED: hypothetical protein LOC100741389 ,1499,0,2290.136887,GO:0006836 neurotransmitter transport | GO:0006812 cation transport,GO:0016021 integral to membrane,GO:0005328 neurotransmitter:sodium symporter activity | GO:0008270 zinc ion binding,-,pfam00209 SNF,GO & Domain,4.11E-09,0.918934566,8.07E-07,Bimodal,High
15104|*|Contig808,916,-,-,-,-,-,-,-,-,-,,1.19E-07,0.875853609,1.19324E-05,Low,Intermediate
15161|*|comp140746_c0_seq1,912,gi|322802012|gb|EFZ22549.1| hypothetical protein SINV_09972 ,196,4.11E-120,422.289717,-,-,GO:0042302 structural constituent of cuticle,-,pfam00379 Chitin_bind_4,GO & Domain,4.36E-07,0.853494305,3.30693E-05,Low,Low
15182|*|Contig2988,911,gi|322782116|gb|EFZ10338.1| hypothetical protein SINV_01620 ,64,7.14E-26,125.264776,GO:0015031 protein transport,GO:0016021 integral to membrane | GO:0005789 endoplasmic reticulum membrane,-,-,-,GO only,2.77E-06,0.814386913,0.000144104,Intermediate,Intermediate
15193|*|Contig993,911,-,-,-,-,-,-,-,-,-,,2.96E-07,0.860522994,2.44001E-05,Bimodal,Intermediate
15198|*|comp140788_c0_seq1,911,-,-,-,-,-,-,-,-,pfam13842 Tnp_zf-ribbon_2,Domain only,3.19E-09,0.921498865,6.57E-07,Intermediate,Intermediate
15200|*|comp122678_c0_seq1,910,-,-,-,-,-,-,-,-,-,,1.40E-08,0.905310831,2.15E-06,Low,Intermediate
15226|*|comp150797_c1_seq10,909,gi|307189177|gb|EFN73625.1| A disintegrin and metalloproteinase with thrombospondin motifs 7 ,25,2.93E-08,68.28265,-,-,-,-,-,,1.08E-07,0.877307941,1.11272E-05,Bimodal,Intermediate
15240|*|comp147120_c0_seq1,908,-,-,-,-,-,-,-,-,-,,3.65E-08,0.893114209,4.71E-06,Intermediate,Low
15299|*|Contig5811,905,-,-,-,-,-,-,-,-,-,,2.53E-12,0.968045914,1.72E-09,Bimodal,Intermediate
1531|*|comp148410_c1_seq2,3668,gi|328781201|ref|XP_003249938.1| PREDICTED: patj homolog ,1046,0,2201.74729,-,-,-,-,pfam00595 PDZ,Domain only,1.55E-06,0.827639734,9.03591E-05,Low,Low
15329|*|comp142895_c1_seq1,904,-,-,-,-,-,-,-,-,-,,4.03E-06,0.805170014,0.000196022,NotResp,Low
15343|*|comp124356_c0_seq1,903,-,-,-,-,-,-,-,-,-,,1.25E-06,0.832395139,7.57403E-05,Low,Intermediate
15354|*|comp150604_c3_seq1,902,gi|307194432|gb|EFN76733.1| hypothetical protein EAI_04129 ,44,2.90E-08,68.28265,-,-,-,-,-,,5.60E-09,0.915708927,1.05E-06,NotResp,Low
1537|*|comp145736_c0_seq2,3661,gi|332023841|gb|EGI64065.1| FERM domain-containing protein 5 ,652,0,1439.891778,-,GO:0005856 cytoskeleton | GO:0005737 cytoplasm | GO:0019898 extrinsic to membrane,GO:0008092 cytoskeletal protein binding,-,pfam00373 FERM_M | pfam09380 FERM_C | pfam09379 FERM_N | pfam08736 FA,GO & Domain,3.80E-06,0.806681061,0.000186452,Low,Low
15405|*|comp1533051_c0_seq1,900,-,-,-,-,-,-,-,-,-,,6.42E-06,0.793133247,0.000286238,Low,High
15413|*|comp138805_c1_seq1,899,gi|322795091|gb|EFZ17933.1| hypothetical protein SINV_01251 ,124,1.27E-55,217.692477,"GO:0006352 transcription initiation, DNA-dependent | GO:0006355 regulation of transcription, DNA-dependent | GO:0006446 regulation of translational initiation",GO:0005840 ribosome,GO:0017025 TBP-class protein binding | GO:0003743 translation initiation factor activity | GO:0008270 zinc ion binding,-,-,GO only,1.32E-06,0.831196114,7.89937E-05,Low,Intermediate
15431|*|comp92768_c0_seq1,899,gi|307173098|gb|EFN64217.1| THAP domain-containing protein 9 ,188,5.66E-95,338.835579,-,-,-,-,-,,3.42E-07,0.857936269,2.74001E-05,Low,Intermediate
